"","Page","Position_Name","Company_Name","Location_Name"
"258",9,"AvisonYoung","DataAnalyst","ChicagoIL"
"259",9,"LevelEx","DataAnalyst","ChicagoIL"
"260",9,"UnitedAirlines","InternPeopleAnalyticsSummer2023","ChicagoIL"
"261",9,"fairlifeLLC","AnalystDataDecisionIntelligence","ChicagoIL"
"262",9,"UnitedAirlines","AnalystMarketingAnalytics","ChicagoIL"
"263",9,"UniversityofChicago","DataAnalyst","ChicagoIL"
"264",9,"Fetch","DataAnalyticsInternshipUIUCCareerFair","ChicagoIL"
"265",9,"FamilyChristian","DataAnalyst","HarveyIL"
"266",9,"MagnoliaCapital","DataEngineerInternship","ChicagoIL"
"267",9,"TheParkingSpot","DataAnalyst","ChicagoIL"
"268",9,"SynecticsInc","DataAnalyst","ChicagoIL"
"269",9,"StaffingNetworkLLC","EntrylevelVirtualDataEntryAnalystAssistantRemote","ChicagoIL"
"270",9,"RedwoodLogistics","DataAnalyst","ChicagoIL"
"271",9,"KaufmanHall","DataScientist","ChicagoIL"
"272",9,"AlliantCreditUnion","DataAnalyst","ChicagoIL"
"273",9,"PlanetTechnology","DataAnalyst","ChicagoIL"
"274",9,"Rheaply","DataAnalyst","ChicagoIL"
"275",9,"MuseumofScienceandIndustryChicago","MarketingManager","ChicagoIL"
