"","year","date","statefips","countyfips","ctfips","latitude","longitude","ds_o3_pred","ds_o3_stdd"
"85","2016","03JAN2016","55","105","55105002602","42.53666","-88.9448","34.1385","4.4143"
"86","2016","03JAN2016","55","105","55105002500","42.53716","-89.01592","33.9737","4.3601"
"87","2016","03JAN2016","55","105","55105002200","42.54582","-89.09027","34.093","4.3702"
"88","2016","03JAN2016","55","105","55105003300","42.54762","-88.83378","34.2756","4.4511"
"89","2016","03JAN2016","55","105","55105002700","42.54843","-89.24627","34.2357","4.6623"
"90","2016","03JAN2016","55","105","55105002601","42.55448","-88.99945","34.0872","4.397"
"91","2016","03JAN2016","55","105","55105002400","42.56141","-89.02588","34.2629","4.4163"
"92","2016","03JAN2016","55","105","55105001400","42.62309","-89.01896","34.0768","4.609"
"93","2016","03JAN2016","55","105","55105001302","42.64148","-88.93872","34.1134","4.5968"
"94","2016","03JAN2016","55","105","55105001201","42.64202","-89.09185","34.0473","4.5935"
"95","2016","03JAN2016","55","105","55105001100","42.65795","-89.04421","34.0984","4.5198"
"96","2016","03JAN2016","55","105","55105001000","42.66515","-89.01236","34.078","4.6468"
"97","2016","03JAN2016","55","105","55105002800","42.66682","-89.23995","34.1513","4.6293"
"98","2016","03JAN2016","55","105","55105000300","42.67417","-89.02437","34.05","4.6325"
"99","2016","03JAN2016","55","105","55105000400","42.67738","-89.04153","34.1021","4.6494"
"100","2016","03JAN2016","55","105","55105000200","42.68317","-89.01108","34.0502","4.6506"
"101","2016","03JAN2016","55","105","55105000100","42.68356","-89.02426","34.0038","4.7888"
"102","2016","03JAN2016","55","105","55105000900","42.6843","-88.99207","33.9412","4.8013"
"103","2016","03JAN2016","55","105","55105000800","42.69536","-89.00179","33.9209","4.66"
"104","2016","03JAN2016","55","105","55105000600","42.69674","-89.02224","33.9152","4.6382"
"105","2016","03JAN2016","55","105","55105000500","42.70099","-89.04299","33.9572","4.7344"
"106","2016","03JAN2016","55","105","55105000700","42.71025","-88.99385","33.9692","4.6372"
"107","2016","03JAN2016","55","105","55105001304","42.71477","-88.97057","33.8719","4.6056"
"108","2016","03JAN2016","55","105","55105003200","42.72317","-88.83716","33.9292","4.6597"
"109","2016","03JAN2016","55","105","55105001202","42.73139","-89.06797","33.9398","4.6273"
"110","2016","03JAN2016","55","105","55105001303","42.73339","-88.94172","33.973","4.7587"
"111","2016","03JAN2016","55","105","55105002900","42.78101","-89.29198","33.9866","4.9603"
"112","2016","03JAN2016","55","105","55105003002","42.80168","-89.11307","33.8297","4.7984"
"113","2016","03JAN2016","55","105","55105003100","42.80181","-88.95325","33.8407","4.7665"
